City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,indianola,41.3581,-93.5574,1.6,63,0,0.89,US,1675825748
297,mizan teferi,6.9833,35.5833,17.37,47,6,1.21,ET,1675825749
298,evensk,61.95,159.2333,-26.49,77,58,2.81,RU,1675825491
299,ust-nera,64.5667,143.2,-35.19,95,80,0.58,RU,1675825751
300,mangrol,21.1167,70.1167,21.33,54,10,3.66,IN,1675825752
301,barahona,18.2085,-71.1008,23.58,76,0,3.37,DO,1675825752
302,sharjah,25.3573,55.4033,22.16,58,8,3.29,AE,1675825698
303,kargopol,61.5071,38.9456,-3.53,90,100,4.0,RU,1675825753
304,te anau,-45.4167,167.7167,13.96,47,46,5.65,NZ,1675825754
305,rawson,-43.3002,-65.1023,18.45,60,2,2.14,AR,1675825755
306,mindelo,16.8901,-24.9804,19.75,52,20,6.17,CV,1675825755
307,sioux lookout,50.1001,-91.917,-11.86,96,49,2.61,CA,1675825756
308,gat,31.61,34.7642,7.44,100,46,7.77,IL,1675825672
309,behbahan,30.5959,50.2417,10.27,61,2,1.89,IR,1675825758
310,san jose,37.3394,-121.895,12.68,67,0,4.12,US,1675825411
311,oistins,13.0667,-59.5333,24.05,88,40,5.14,BB,1675825759
312,high level,58.5169,-117.136,-12.38,98,35,1.91,CA,1675825715
313,chingirlau,51.095,54.0814,-20.1,99,32,2.15,KZ,1675825760
314,shingu,33.7333,135.9833,15.03,35,5,2.47,JP,1675825760
315,santa lucia,27.9117,-15.5407,11.62,59,75,4.63,ES,1675825761
316,verkhnevilyuysk,63.4453,120.3167,-35.27,96,100,0.24,RU,1675825762
317,hearst,49.6835,-83.6665,-14.98,96,99,2.12,CA,1675825763
318,salalah,17.0151,54.0924,19.63,70,99,1.28,OM,1675825764
319,buala,-8.145,159.5921,27.51,85,90,3.44,SB,1675825765
320,nam dinh,20.4167,106.1667,21.22,89,100,4.35,VN,1675825766
321,saint-joseph,-21.3667,55.6167,25.21,80,77,6.03,RE,1675825738
322,nome,64.5011,-165.4064,-22.96,77,0,0.0,US,1675825767
323,sunrise manor,36.2111,-115.0731,13.73,31,0,4.63,US,1675825769
324,westport,41.1415,-73.3579,5.31,86,100,1.54,US,1675825770
325,berlevag,70.8578,29.0864,2.0,69,26,8.23,NO,1675825775
326,haines junction,60.7522,-137.5108,-11.33,99,31,1.8,CA,1675825775
327,mount gambier,-37.8333,140.7667,23.07,44,14,5.09,AU,1675825776
328,sabha,27.0377,14.4283,11.07,40,97,5.58,LY,1675825776
329,gonbad-e qabus,37.25,55.1672,9.06,81,99,3.73,IR,1675825777
330,los llanos de aridane,28.6585,-17.9182,11.86,62,0,2.57,ES,1675825777
331,lata,40.1629,-8.3327,8.93,82,31,2.44,PT,1675825778
332,launceston,-41.45,147.1667,24.23,47,40,3.09,AU,1675825778
333,kieta,-6.2167,155.6333,29.85,67,31,3.77,PG,1675825723
334,lagoa,39.05,-27.9833,13.16,58,98,6.26,PT,1675825696
335,maningrida,-12.0667,134.2667,33.2,53,91,2.5,AU,1675825779
336,utrecht,52.0,5.25,-0.57,89,100,0.89,NL,1675825610
